wall,t,timeScale,bladeGapFraction,heroHipX,heroHipY,heroHandX,heroHandY,heroTipX,heroTipY,foeHipX,foeHipY,foeHandX,foeHandY,foeTipX,foeTipY,heroShoulderX,heroShoulderY,heroElbowX,heroElbowY,heroHeadX,heroHeadY,heroStandX,foeStandX,heroArmWeight,heroBladeWeight
0.25000,0.25000,1.00000,0.679955,0.05846,0.96109,-0.19092,1.09824,-0.04476,0.35854,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.22959,1.37086,-0.06708,1.32678,0.14665,1.59139,0.05846,1.55000,0.66134,0.00000
0.25833,0.25833,1.00000,0.694848,0.06263,0.96087,-0.19413,1.11388,-0.06902,0.37033,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.23438,1.37057,-0.06386,1.33881,0.15122,1.59114,0.06263,1.55000,0.67971,0.00000
0.26667,0.26667,1.00000,0.709006,0.06683,0.96064,-0.19650,1.12880,-0.09196,0.38208,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.23918,1.37034,-0.06006,1.35005,0.15569,1.59092,0.06683,1.55000,0.69729,0.00000
0.27500,0.27500,1.00000,0.722940,0.07103,0.96041,-0.19833,1.14311,-0.11445,0.39379,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.24394,1.37001,-0.05583,1.36051,0.16038,1.59065,0.07103,1.55000,0.71400,0.00000
0.28333,0.28333,1.00000,0.736423,0.07523,0.96017,-0.19957,1.15661,-0.13612,0.40528,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.24872,1.36977,-0.05121,1.37005,0.16485,1.59041,0.07523,1.55000,0.72980,0.00000
0.29167,0.29167,1.00000,0.749346,0.07940,0.95994,-0.20035,1.16935,-0.15680,0.41661,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.25339,1.36954,-0.04639,1.37879,0.16918,1.59020,0.07940,1.55000,0.74465,0.00000
0.30000,0.30000,1.00000,0.762053,0.08355,0.95970,-0.20071,1.18124,-0.17710,0.42761,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.25816,1.36924,-0.04127,1.38653,0.17377,1.58994,0.08355,1.55000,0.75849,0.00000
0.30833,0.30833,1.00000,0.774077,0.08764,0.95946,-0.20077,1.19217,-0.19623,0.43818,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.26276,1.36896,-0.03618,1.39336,0.17817,1.58969,0.08764,1.55000,0.77131,0.00000
0.31667,0.31667,1.00000,0.785659,0.09166,0.95921,-0.20064,1.20232,-0.21461,0.44845,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.26718,1.36859,-0.03116,1.39941,0.18258,1.58942,0.09166,1.55000,0.78309,0.00000
0.32500,0.32500,1.00000,0.797203,0.09562,0.95897,-0.20032,1.21165,-0.23294,0.45835,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.27171,1.36824,-0.02602,1.40449,0.18705,1.58915,0.09562,1.55000,0.79382,0.00000
