t,standX,hipX,hipY,headX,headY,shX,shY,elX,elY,handX,handY,tipX,tipY
1.28333,0.160000,0.160000,0.951890,0.270407,1.580299,0.363847,1.358116,0.072134,1.427778,-0.187705,1.434530,-0.780715,0.968854
1.30000,0.160000,0.160000,0.952262,0.269106,1.580874,0.362858,1.359050,0.070723,1.426920,-0.189083,1.434869,-0.784230,0.971926
1.31667,0.160000,0.160000,0.952659,0.267805,1.581471,0.361867,1.360007,0.069397,1.426420,-0.190373,1.435464,-0.787467,0.975037
1.33333,0.160000,0.160000,0.953082,0.266435,1.582093,0.360752,1.360996,0.069227,1.431441,-0.190327,1.445365,-0.795969,0.996238
1.35000,0.160000,0.160000,0.953526,0.264884,1.582768,0.359554,1.362081,0.074533,1.455422,-0.183332,1.488106,-0.819907,1.084018
1.36667,0.160000,0.160000,0.953992,0.263451,1.583429,0.358375,1.363110,0.088961,1.494892,-0.163037,1.558605,-0.843081,1.233112
1.38333,0.160000,0.160000,0.954477,0.261891,1.584132,0.357111,1.364232,0.116508,1.543285,-0.122130,1.646313,-0.844082,1.429594
1.40000,0.160000,0.160000,0.950000,0.335228,1.561640,0.382265,1.324213,0.230187,1.582700,0.036984,1.756568,-0.716248,1.773900
1.41667,0.159996,0.159996,0.950034,0.334625,1.561888,0.382051,1.324565,0.304535,1.614280,0.150486,1.823627,-0.586181,1.978819
1.43333,0.159960,0.159960,0.950133,0.333166,1.562460,0.381506,1.325374,0.382802,1.625278,0.276542,1.862483,-0.418817,2.148429
1.45000,0.159837,0.159837,0.950295,0.330814,1.563370,0.380651,1.326673,0.463659,1.614863,0.410878,1.869367,-0.224294,2.268887
1.46667,0.159566,0.159566,0.950515,0.327801,1.564487,0.379421,1.328305,0.538827,1.582341,0.540698,1.842254,-0.021410,2.336764
1.48333,0.159094,0.159094,0.950791,0.323813,1.565883,0.377717,1.330370,0.600572,1.531071,0.654285,1.785382,0.202574,2.382493
1.50000,0.158378,0.158378,0.951120,0.319132,1.567429,0.375596,1.332677,0.643857,1.466773,0.743580,1.706804,0.441096,2.393508
1.51667,0.157391,0.157391,0.951497,0.313933,1.569052,0.373067,1.335174,0.666506,1.397147,0.804447,1.617447,0.674303,2.359052
1.53333,0.156124,0.156124,0.951921,0.308329,1.570703,0.370188,1.337776,0.669972,1.329007,0.838063,1.527265,0.883977,2.281767
1.55000,0.154579,0.154579,0.952386,0.301989,1.572470,0.366870,1.340616,0.658010,1.268608,0.848359,1.445604,1.052517,2.176369
1.56667,0.152771,0.152771,0.952891,0.295283,1.574235,0.363091,1.343529,0.635847,1.218820,0.841780,1.377415,1.173612,2.062458
1.58332,0.150730,0.150730,0.969995,0.195574,1.606798,0.289592,1.396192,0.574271,1.301759,0.786778,1.451460,1.199149,2.093642
1.59980,0.148510,0.148510,0.969980,0.200415,1.605810,0.289220,1.392984,0.556752,1.257393,0.776239,1.396655,1.261278,1.987906
1.61593,0.146183,0.146183,0.969955,0.199111,1.605626,0.287394,1.392583,0.539665,1.230358,0.762708,1.363849,1.295194,1.914327
1.63162,0.143813,0.143813,0.969922,0.197953,1.605415,0.285675,1.392176,0.525742,1.212385,0.749549,1.344591,1.309221,1.868472
1.64682,0.141450,0.141450,0.969882,0.196476,1.605236,0.283850,1.391858,0.515977,1.201927,0.738453,1.336358,1.311943,1.845774
1.66159,0.139124,0.139124,0.969835,0.195114,1.605041,0.282153,1.391536,0.510446,1.197014,0.729823,1.336444,1.307823,1.841192
1.67602,0.136854,0.136854,0.969783,0.193411,1.604897,0.280334,1.391351,0.508552,1.196742,0.723492,1.342919,1.301741,1.847778
1.69024,0.134643,0.134643,0.969726,0.192134,1.604698,0.278788,1.391053,0.509671,1.199614,0.718966,1.353764,1.295686,1.860839
1.70442,0.132493,0.132493,0.969662,0.190384,1.604556,0.277015,1.390913,0.512882,1.205652,0.715615,1.368335,1.290762,1.877730
1.71870,0.130401,0.130401,0.969593,0.189012,1.604378,0.275524,1.390698,0.517508,1.213501,0.713002,1.384815,1.288840,1.894135
1.73323,0.128369,0.128369,0.969517,0.187619,1.604214,0.274145,1.390520,0.522745,1.222732,0.710771,1.402210,1.291289,1.907086
1.74814,0.126405,0.126405,0.969434,0.186103,1.604052,0.272659,1.390383,0.535240,1.245449,0.708960,1.438807,1.278238,1.957268
1.76351,0.124526,0.124526,0.969342,0.184939,1.603863,0.271495,1.390174,0.559321,1.305853,0.697932,1.525745,1.205840,2.105420
1.77935,0.122755,0.122755,0.969243,0.183610,1.603699,0.270302,1.390041,0.569988,1.401986,0.651204,1.648906,1.047639,2.310872
1.79562,0.121122,0.121122,0.969135,0.182418,1.603525,0.269221,1.389883,0.540844,1.517064,0.545789,1.776951,0.785065,2.511607
1.81217,0.119654,0.119654,0.969020,0.181545,1.603326,0.268406,1.389669,0.460899,1.619669,0.381885,1.867303,0.433698,2.639310
1.82884,0.118372,0.118372,0.968899,0.180704,1.603137,0.267557,1.389423,0.343342,1.679613,0.187590,1.887715,0.046496,2.649599
1.84550,0.117273,0.117273,0.968774,0.179850,1.602967,0.266782,1.389214,0.217674,1.685089,0.004505,1.833831,-0.315158,2.540790
1.86217,0.116341,0.116341,0.968645,0.179641,1.602733,0.266407,1.388798,0.111439,1.645583,-0.135386,1.727083,-0.623460,2.331410
1.87884,0.115559,0.115559,0.968513,0.179180,1.602544,0.265894,1.388488,0.036857,1.582126,-0.222480,1.599719,-0.846635,2.063508
1.89550,0.114906,0.114906,0.968377,0.179196,1.602305,0.265642,1.388033,-0.005822,1.515552,-0.263358,1.480336,-0.977208,1.790386
1.91217,0.114365,0.114365,0.968239,0.179271,1.602073,0.265460,1.387550,-0.025720,1.459436,-0.274709,1.384806,-1.036429,1.546793
1.92884,0.113918,0.113918,0.968098,0.179274,1.601852,0.265261,1.387098,-0.032819,1.420287,-0.272531,1.319771,-1.051049,1.340245
1.94550,0.113552,0.113552,0.967956,0.179304,1.601633,0.265104,1.386687,-0.034584,1.398549,-0.267549,1.283255,-1.038588,1.176045
1.96217,0.113252,0.113252,0.967812,0.179667,1.601386,0.265235,1.386199,-0.034631,1.392084,-0.264696,1.271109,-1.012145,1.056085
1.97884,0.113008,0.113008,0.967667,0.179901,1.601142,0.265155,1.385720,-0.034587,1.396147,-0.264816,1.275481,-0.978622,0.969410
