t,standX,hipX,hipY,headX,headY,shX,shY,elX,elY,handX,handY,tipX,tipY
1.06217,0.159995,0.159995,0.961238,0.245299,1.591833,0.336610,1.374676,0.610199,1.497552,0.587675,1.756501,0.058239,2.293355
1.07884,0.159996,0.159996,0.960789,0.246047,1.591374,0.337535,1.373973,0.637069,1.389117,0.683350,1.644891,0.313506,2.301954
1.09550,0.159997,0.159997,0.960327,0.246953,1.590867,0.338445,1.373131,0.624279,1.282303,0.734672,1.517624,0.545909,2.247614
1.11217,0.159998,0.159998,0.959853,0.248087,1.590325,0.339451,1.372216,0.578673,1.191316,0.744479,1.391496,0.744534,2.145496
1.12884,0.159998,0.159998,0.959370,0.249063,1.589794,0.340236,1.371274,0.511583,1.125119,0.720648,1.279573,0.901950,2.011452
1.14550,0.159999,0.159999,0.958880,0.249871,1.589298,0.340748,1.370378,0.435555,1.085834,0.674457,1.188260,1.018678,1.859103
1.16217,0.159999,0.159999,0.958383,0.251140,1.588730,0.341479,1.369363,0.361552,1.070112,0.616981,1.118292,1.098491,1.698522
1.17884,0.159999,0.159999,0.957884,0.252140,1.588110,0.342194,1.368368,0.297120,1.071850,0.557023,1.067776,1.145205,1.539539
1.19550,0.159999,0.159999,0.957383,0.253547,1.587510,0.342903,1.367248,0.245509,1.083576,0.500296,1.032094,1.164758,1.388477
1.21217,0.159999,0.159999,0.956882,0.254871,1.586915,0.343484,1.366169,0.207155,1.099015,0.450248,1.006964,1.163641,1.251076
1.22884,0.160000,0.160000,0.956384,0.256323,1.586286,0.344183,1.365046,0.180487,1.113726,0.408023,0.988046,1.148877,1.128245
1.24550,0.160000,0.160000,0.955890,0.257766,1.585649,0.344843,1.363949,0.163010,1.125423,0.373216,0.972511,1.125735,1.019809
1.26217,0.160000,0.160000,0.955402,0.259007,1.585058,0.345411,1.362927,0.151476,1.134130,0.344017,0.959494,1.097258,0.925579
1.27883,0.160000,0.160000,0.954924,0.260482,1.584427,0.346130,1.361868,0.143478,1.140751,0.318712,0.948753,1.065409,0.844030
1.29534,0.160000,0.160000,0.954460,0.261866,1.583816,0.346729,1.360823,0.135993,1.147395,0.298191,0.944264,1.036361,0.790549
1.31153,0.160000,0.160000,0.954016,0.263483,1.583177,0.348010,1.359829,0.128696,1.155226,0.285224,0.947694,1.018869,0.773659
1.32727,0.160000,0.160000,0.953598,0.264858,1.582597,0.349679,1.359017,0.120518,1.165509,0.279028,0.959489,1.014308,0.792498
1.34254,0.160000,0.160000,0.953206,0.266164,1.582041,0.351571,1.358302,0.111804,1.178106,0.278709,0.978828,1.020273,0.842429
1.35735,0.160000,0.160000,0.952841,0.267228,1.581547,0.353499,1.357737,0.103326,1.192295,0.282931,1.004385,1.031839,0.916880
1.37182,0.160000,0.160000,0.952499,0.268345,1.581067,0.355540,1.357244,0.096042,1.206855,0.290975,1.034901,1.044611,1.011402
1.38606,0.160000,0.160000,0.952178,0.269580,1.580573,0.357651,1.356743,0.090879,1.219676,0.302308,1.068470,1.054419,1.121845
1.40023,0.160000,0.160000,0.951875,0.270529,1.580146,0.359652,1.356412,0.089251,1.226657,0.310449,1.090143,1.057205,1.194415
1.41449,0.160000,0.160000,0.951589,0.271454,1.579728,0.361481,1.356093,0.087933,1.233116,0.312162,1.101645,1.056367,1.222793
1.42899,0.160000,0.160000,0.951318,0.272394,1.579326,0.363400,1.355857,0.080503,1.256258,0.295970,1.110874,1.046345,1.184728
1.44385,0.160000,0.160000,0.951063,0.273266,1.578944,0.365170,1.355671,0.066834,1.324931,0.241850,1.132756,0.988429,1.027231
1.45915,0.160000,0.160000,0.950825,0.274137,1.578577,0.366900,1.355519,0.068478,1.385401,0.197137,1.159551,0.902458,0.893022
1.47494,0.160000,0.160000,0.950608,0.274841,1.578252,0.368493,1.355453,0.077998,1.430022,0.162958,1.184375,0.807281,0.792759
1.49115,0.160000,0.160000,0.950416,0.275598,1.577944,0.370019,1.355411,0.088153,1.457875,0.136740,1.202532,0.717738,0.721955
1.50768,0.160000,0.160000,0.950256,0.276000,1.577728,0.371200,1.355512,0.093906,1.469769,0.116240,1.210807,0.645285,0.673568
1.52434,0.160000,0.160000,0.950132,0.276582,1.577509,0.372386,1.355549,0.093752,1.466499,0.100964,1.206676,0.597816,0.639533
1.54101,0.160000,0.160000,0.950048,0.276809,1.577391,0.373205,1.355713,0.088256,1.449257,0.091384,1.189353,0.579262,0.614472
1.55768,0.160000,0.160000,0.950005,0.276976,1.577326,0.373830,1.355928,0.080545,1.418617,0.089653,1.158854,0.590632,0.595353
1.57434,0.160000,0.160000,0.950000,0.276743,1.577365,0.374156,1.356252,0.077307,1.313508,0.101237,1.054690,0.633582,0.520722
1.59101,0.160000,0.160000,0.950000,0.276743,1.577365,0.374482,1.356453,0.119631,1.198349,0.166071,0.942609,0.743014,0.457171
1.60768,0.160000,0.160000,0.950000,0.276743,1.577365,0.374690,1.356584,0.202651,1.110924,0.277474,0.862005,0.905211,0.444320
1.62434,0.160000,0.160000,0.950000,0.276743,1.577365,0.374806,1.356658,0.309536,1.063937,0.432978,0.835198,1.131997,0.552556
1.64101,0.160000,0.160000,0.964996,0.229655,1.598138,0.328911,1.388024,0.395622,1.095623,0.574665,0.907194,1.323309,0.817488
1.65768,0.160000,0.160000,0.964945,0.240086,1.595556,0.328064,1.380425,0.488311,1.126914,0.710555,0.992124,1.456477,1.102191
1.67434,0.160000,0.160000,0.964837,0.240162,1.595456,0.328340,1.380301,0.562269,1.192619,0.814795,1.131048,1.492899,1.460727
1.69101,0.160000,0.160000,0.964674,0.240163,1.595329,0.328665,1.380121,0.316260,1.679777,0.250267,1.931183,-0.362338,2.370762
1.70768,0.160000,0.160000,0.964460,0.240541,1.595106,0.329194,1.379753,0.388621,1.673719,0.370855,1.933035,-0.148637,2.479516
1.72434,0.160000,0.160000,0.964199,0.240919,1.594840,0.329858,1.379328,0.511654,1.617859,0.587262,1.866543,0.296055,2.562038
1.74101,0.160000,0.160000,0.963893,0.241461,1.594517,0.330716,1.378849,0.616455,1.469956,0.801138,1.652855,0.875340,2.403194
1.75768,0.160000,0.160000,0.963546,0.241959,1.594167,0.331605,1.378315,0.606152,1.257603,0.861094,1.308246,1.336973,1.893099
1.77434,0.160000,0.160000,0.963160,0.242228,1.593827,0.332556,1.377914,0.439614,1.097760,0.674682,0.986838,1.405094,1.173952
1.79101,0.160000,0.160000,0.962740,0.242927,1.593382,0.333617,1.377246,0.200501,1.108494,0.318371,0.876832,1.010344,0.577352
1.80768,0.160000,0.160000,0.962289,0.243588,1.592925,0.334718,1.376572,0.047020,1.291849,-0.000234,1.036256,0.367102,0.377790
1.82434,0.160000,0.160000,0.961809,0.244340,1.592429,0.335756,1.375800,0.074028,1.522248,-0.114135,1.342927,-0.202732,0.594151
1.84101,0.160000,0.160000,0.961304,0.245168,1.591915,0.336894,1.375033,0.244155,1.660249,-0.011627,1.614020,-0.497547,1.037481
